TEST_NAME,NUM_REQUESTS,NUM_CONNECTIONS,NUM_THREADS,RPS,REQUEST_MAX,REQUEST_MEAN,REQUEST_SD,RSS_KB,CPU_TIME,THREADS_IN_APP
go-api,1000000,100,4,97168.62,11.56ms,1.02ms,977us,14804,00:00:24,12
go-api,1000000,200,4,99104.80,17.45ms,1.99ms,1.80ms,15436,00:00:24,12
go-api,1000000,400,4,99650.68,32.84ms,3.93ms,3.03ms,17044,00:00:24,11
go-api,1000000,100,8,90969.07,14.20ms,1.07ms,1.35ms,14556,00:00:25,13
go-api,1000000,200,8,92839.91,37.38ms,2.10ms,2.38ms,15448,00:00:25,12
go-api,1000000,400,8,94750.24,35.83ms,4.09ms,3.77ms,16500,00:00:25,13
go-api,1000000,100,16,85183.05,24.59ms,1.13ms,1.76ms,14444,00:00:26,13
go-api,1000000,200,16,86145.15,40.21ms,2.24ms,3.03ms,15604,00:00:26,13
go-api,1000000,400,16,88264.52,66.23ms,4.33ms,5.10ms,16288,00:00:26,13
rust-api,1000000,100,4,124692.29,6.11ms,797us,461us,6060,00:00:16,5
rust-api,1000000,200,4,127049.74,9.53ms,1.57ms,847us,8516,00:00:16,5
rust-api,1000000,400,4,129321.97,20.70ms,3.07ms,1.54ms,12844,00:00:16,5
rust-api,1000000,100,8,116194.23,7.77ms,844us,560us,6044,00:00:17,5
rust-api,1000000,200,8,119053.32,11.77ms,1.67ms,974us,8416,00:00:17,5
rust-api,1000000,400,8,122089.58,18.20ms,3.25ms,1.69ms,12920,00:00:16,5
rust-api,1000000,100,16,109173.36,12.05ms,889us,583us,6220,00:00:18,5
rust-api,1000000,200,16,109233.19,13.96ms,1.79ms,1.04ms,8464,00:00:18,5
rust-api,1000000,400,16,109957.23,20.77ms,3.61ms,1.93ms,12700,00:00:18,5
